match_id,player_id,player_name,team_id,ht_passes,ht_touches,ht_dribbles,total_shots_on_goal,competition_type_Ligue 1,competition_type_World Cup,avg_ht_passes_ligue1,avg_ht_touches_ligue1,avg_ht_dribbles_ligue1,avg_total_sog_ligue1,player_id_x_world_cup,player_id_x_ligue_1
3802643,2940,Jean Eudès Aholou,138,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0,2940
3802643,2946,Frédéric Guilbert,138,27,18,0,0,True,False,27.0,18.0,0.0,0.0,0,2946
3802643,2989,Alexander Djiku,138,27,25,0,0,True,False,27.0,25.0,0.0,0.0,0,2989
3802643,3175,Eiji Kawashima,138,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0,3175
3802643,3215,Dimitri Liénard,138,24,23,0,0,True,False,24.0,23.0,0.0,0.0,0,3215
3802643,3229,Maxime Le Marchand,138,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0,3229
3802643,3375,Adrien Thomasson,138,31,27,0,0,True,False,31.0,27.0,0.0,0.0,0,3375
3802643,4407,Sanjin Prcić,138,29,22,0,0,True,False,29.0,22.0,0.0,0.0,0,4407
3802643,4598,Gerzino Nyamsi,138,29,23,0,0,True,False,29.0,23.0,0.0,0.0,0,4598
3802643,6401,Kevin Gameiro,138,12,22,1,1,True,False,12.0,22.0,1.0,1.0,0,6401
3802643,7208,Ludovic Ajorque,138,16,18,1,0,True,False,16.0,18.0,1.0,0.0,0,7208
3802643,7422,Ibrahima Sissoko,138,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0,7422
3802643,8833,Karol Fila,138,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0,8833
3802643,10479,Matz Sels,138,13,8,0,0,True,False,13.0,8.0,0.0,0.0,0,10479
3802643,10480,Anthony Caci,138,0,0,0,1,True,False,0.0,0.0,0.0,1.0,0,10480
3802643,18516,Habibou Mouhamadou Diallo,138,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0,18516
3802643,19718,Jean-Ricner Bellegarde,138,22,25,0,0,True,False,22.0,25.0,0.0,0.0,0,19718
